Time,Ecg1
19:36:46.514,-179.0
19:36:46.554,-177.0
19:36:46.594,-177.0
19:36:46.634,-164.0
19:36:46.674,-134.0
19:36:46.714,-123.0
19:36:46.754,39.0
19:36:46.794,-17.0
19:36:46.834,-101.0
19:36:46.874,-482.0
19:36:46.914,831.0
19:36:46.954,441.0
19:36:46.994,201.0
19:36:47.034,187.0
19:36:47.074,337.0
19:36:47.114,518.0
19:36:47.154,343.0
19:36:47.194,114.0
19:36:47.234,-18.0
19:36:47.274,8.0
19:36:47.314,11.0
19:36:47.354,47.0
19:36:47.394,47.0
19:36:47.434,58.0
19:36:47.474,35.0
19:36:47.514,49.0
19:36:47.554,48.0
19:36:47.594,183.0
19:36:47.634,132.0
19:36:47.674,30.0
19:36:47.714,-518.0
19:36:47.754,1602.0
19:36:47.794,1001.0
19:36:47.834,343.0
19:36:47.874,105.0
19:36:47.914,262.0
19:36:47.954,451.0
19:36:47.994,298.0
19:36:48.034,-19.0
19:36:48.074,-159.0
19:36:48.114,-205.0
19:36:48.154,-174.0
19:36:48.194,-83.0
19:36:48.234,-74.0
19:36:48.274,-105.0
19:36:48.314,-87.0
19:36:48.354,-136.0
19:36:48.394,-144.0
19:36:48.434,29.0
19:36:48.474,102.0
19:36:48.514,-5.0
19:36:48.554,-465.0
19:36:48.594,1604.0
19:36:48.634,970.0
19:36:48.674,279.0
19:36:48.714,6.0
19:36:48.754,35.0
19:36:48.794,170.0
19:36:48.834,-24.0
19:36:48.874,-303.0
19:36:48.914,-439.0
19:36:48.954,-439.0
19:36:48.994,-384.0
19:36:49.034,-264.0
19:36:49.074,-203.0
19:36:49.114,-162.0
19:36:49.154,-179.0
19:36:49.194,-190.0
19:36:49.234,-133.0
19:36:51.608,-31.0
19:36:51.648,-95.0
19:36:51.688,2392.0
19:36:51.728,1662.0
19:36:51.768,543.0
19:36:51.808,101.0
19:36:51.848,-6.0
19:36:51.888,147.0
19:36:51.928,25.0
19:36:51.968,-313.0
19:36:52.008,-556.0
19:36:52.048,-623.0
19:36:52.088,-626.0
19:36:52.128,-581.0
